shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.UnloadLatticeYPower,GlobalLatticeVariables2.DMDModulationAmplitude,GlobalLatticeVariables2.Dmd1ModPattern,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalImagingVariables2.SecondSpinBlowOutPulseThreeHalvesExtAmplitude,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.IsRoundTripReloading,LocalVariables.DMDID2,GlobalLatticeVariables2.NematicLatticeModulationTime,GlobalLatticeVariables2.DMDModulationFrequency,LocalVariables.DMDID,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampWaitTime,GlobalImagingVariables2.FourthSpinBlowOutPulseDetuning,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,LocalVariables.ScanID5,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampDelayTime,GlobalMotVariables2.MotDetuningCompressed,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.UnloadLatticeRampTime,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalImagingVariables2.FifthSpinBlowOutPulseDetuning,GlobalLatticeVariables2.PhysicsSplitFieldRampDelayTime,GlobalLatticeVariables2.isImageExpandedCheckerboard,GlobalLatticeVariables2.LatticeFreezePhysicsNorthwestPower,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.IsDMDLatticeModulation,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,LocalVariables.XbarFrequency,GlobalLatticeVariables2.NematicLatticeModulationPostHoldTime,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.ReloadLatticeRampTime,LocalVariables.ScanID3,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalImagingVariables2.SecondSpinBlowOutPulsePulseWidth,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.LatticeFreezeNorthwestPower,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.IsImageBIFormation,GlobalLatticeVariables2.UnloadLatticeXPower,GlobalLatticeVariables2.DMDModulationTime,GlobalImagingVariables2.SpinBlowOutPulsePulseWidth,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionInitialPower,GlobalLatticeVariables2.Dmd1PatternFilename,LocalVariables.ScanID2,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalImagingVariables2.SpinBlowNorthwestPower,GlobalImagingVariables2.SpinBlowOutPulseDetuning,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.LoadingGradientNorthwestInitialPower,GlobalLatticeVariables2.NematicLatticeModulationFrequency,LocalVariables.ScanID4,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionFinalPower,GlobalLatticeVariables2.NematicLatticeModulationPreHoldTime,GlobalImagingVariables2.SecondSpinBlowOutPulseMagneticField,GlobalMotVariables2.MotExtAmplitudeCompressed,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.IsNematicLatticeModulation,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.UnloadLatticeDMD1Power,LocalVariables.ShotTypeID,GlobalLatticeVariables2.SecondDMD1RampTime,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalScienceChamberEvaporationVariables2.AccordionCompressionDimplePower,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.LoadingGradientRadialLoadingField,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.DMDModulationOffset,GlobalLatticeVariables2.ImagingLatticeFreezeTime,GlobalLatticeVariables2.LatticeFreezeVerticalPower,GlobalMotVariables2.MotRepumpExtAmplitudeCompressed,GlobalLatticeVariables2.CleanupBandInsulatorWaitTime,GlobalLatticeVariables2.DMDModulationPreHoldTime,GlobalImagingVariables2.ThirdSpinBlowOutPulseDetuning,GlobalImagingVariables2.SecondSpinBlowOutPulseDetuning,GlobalImagingVariables2.SecondSpinBlowOutPulseOneHalfExtAmplitude,GlobalLatticeVariables2.NematicLatticeModulationXbarPhase
513,513,2025/10/12 06:46:39,0.007,0.0,0.0,b'251007_dmd0_iterative_compensation_pinning_6n.pkl',0.0,0,0,0.0,0.03,200.0,0.0,0.035,0.0,1010900000.0,93.0,0.0,0.0,0.0225,0.2,-1.4999999999999999e-05,-6000000.0,1.0,0.01,100000.0,620000000.0,0.0,0,1.0,0.1,0,557.0,773000000.0,0.0,2.9999999999999997e-05,0.1,0.0,0.0225,9.999999999999999e-06,0.975,1.3,0.04,0,0.00025,0.03,9.999999999999999e-06,2.5,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.875,0.005,1.5,605500000.0,0.0,0.0,0.014,83506780.0,0.05,200.0,0.0,0.018000000000000002,1.0,0.0,610.0,0.78,0.174746,0.01125,0.1634945,0,0.032,0.0225,33.0,0.02,0.03,0.3,10.0,550.0,0.03,0.0,0.02,0.0,0.48,0.03,0.0,1088300000.0,766000000.0,0.7,0.0
514,514,2025/10/12 06:46:55,0.007,0.0,0.0,b'251007_dmd0_iterative_compensation_pinning_6p.pkl',0.0,0,0,0.0,0.03,200.0,0.0,0.035,0.0,854000000.0,93.0,0.0,0.0,0.0225,0.2,-1.4999999999999999e-05,-6000000.0,0.0,0.01,100000.0,620000000.0,0.0,0,1.0,0.1,0,557.0,773000000.0,0.0,2.9999999999999997e-05,0.1,0.0,0.0225,9.999999999999999e-06,0.975,1.3,0.001,0,0.00025,0.03,4.9999999999999996e-06,2.5,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.875,0.005,1.5,450000000.0,0.0,0.0,0.014,228200000.0,0.05,200.0,0.0,0.018000000000000002,1.0,0.0,500.0,0.78,0.174746,0.01125,0.1634945,0,0.032,0.0225,34.0,0.02,0.03,0.3,10.0,550.0,0.03,0.0,0.02,0.0,0.48,0.03,0.0,932600000.0,300000000.0,0.0,0.0
515,515,2025/10/12 06:47:11,0.007,0.0,0.0,b'251007_dmd0_iterative_compensation_pinning_6p.pkl',0.0,0,0,0.0,0.03,200.0,0.0,0.035,0.0,1010900000.0,93.0,0.0,0.0,0.0225,0.2,-1.4999999999999999e-05,-6000000.0,1.0,0.01,100000.0,620000000.0,0.0,0,1.0,0.1,0,557.0,773000000.0,0.0,2.9999999999999997e-05,0.1,0.0,0.0225,9.999999999999999e-06,0.975,1.3,0.04,0,0.00025,0.03,9.999999999999999e-06,2.5,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.875,0.005,1.5,605500000.0,0.0,0.0,0.014,83506780.0,0.05,200.0,0.0,0.018000000000000002,1.0,0.0,610.0,0.78,0.174746,0.01125,0.1634945,0,0.032,0.0225,35.0,0.02,0.03,0.3,10.0,550.0,0.03,0.0,0.02,0.0,0.48,0.03,0.0,1088300000.0,766000000.0,0.7,0.0
516,516,2025/10/12 06:47:27,0.007,0.0,0.0,b'251007_dmd0_iterative_compensation_pinning_8n.pkl',0.0,0,0,0.0,0.03,200.0,0.0,0.035,0.0,854000000.0,93.0,0.0,0.0,0.0225,0.2,-1.4999999999999999e-05,-6000000.0,0.0,0.01,100000.0,620000000.0,0.0,0,1.0,0.1,0,557.0,773000000.0,0.0,2.9999999999999997e-05,0.1,0.0,0.0225,9.999999999999999e-06,0.975,1.3,0.001,0,0.00025,0.03,4.9999999999999996e-06,2.5,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.875,0.005,1.5,450000000.0,0.0,0.0,0.014,228200000.0,0.05,200.0,0.0,0.018000000000000002,1.0,0.0,500.0,0.78,0.174746,0.01125,0.1634945,0,0.032,0.0225,36.0,0.02,0.03,0.3,10.0,550.0,0.03,0.0,0.02,0.0,0.48,0.03,0.0,932600000.0,300000000.0,0.0,0.0
517,517,2025/10/12 06:47:42,0.007,0.0,0.0,b'251007_dmd0_iterative_compensation_pinning_8n.pkl',0.0,0,0,0.0,0.03,200.0,0.0,0.035,0.0,1010900000.0,93.0,0.0,0.0,0.0225,0.2,-1.4999999999999999e-05,-6000000.0,1.0,0.01,100000.0,620000000.0,0.0,0,1.0,0.1,0,557.0,773000000.0,0.0,2.9999999999999997e-05,0.1,0.0,0.0225,9.999999999999999e-06,0.975,1.3,0.04,0,0.00025,0.03,9.999999999999999e-06,2.5,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.875,0.005,1.5,605500000.0,0.0,0.0,0.014,83506780.0,0.05,200.0,0.0,0.018000000000000002,1.0,0.0,610.0,0.78,0.174746,0.01125,0.1634945,0,0.032,0.0225,37.0,0.02,0.03,0.3,10.0,550.0,0.03,0.0,0.02,0.0,0.48,0.03,0.0,1088300000.0,766000000.0,0.7,0.0
518,518,2025/10/12 06:47:58,0.007,0.0,0.0,b'251007_dmd0_iterative_compensation_pinning_8p.pkl',0.0,0,0,0.0,0.03,200.0,0.0,0.035,0.0,854000000.0,93.0,0.0,0.0,0.0225,0.2,-1.4999999999999999e-05,-6000000.0,0.0,0.01,100000.0,620000000.0,0.0,0,1.0,0.1,0,557.0,773000000.0,0.0,2.9999999999999997e-05,0.1,0.0,0.0225,9.999999999999999e-06,0.975,1.3,0.001,0,0.00025,0.03,4.9999999999999996e-06,2.5,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.875,0.005,1.5,450000000.0,0.0,0.0,0.014,228200000.0,0.05,200.0,0.0,0.018000000000000002,1.0,0.0,500.0,0.78,0.174746,0.01125,0.1634945,0,0.032,0.0225,38.0,0.02,0.03,0.3,10.0,550.0,0.03,0.0,0.02,0.0,0.48,0.03,0.0,932600000.0,300000000.0,0.0,0.0
519,519,2025/10/12 06:48:14,0.007,0.0,0.0,b'251007_dmd0_iterative_compensation_pinning_8p.pkl',0.0,0,0,0.0,0.03,200.0,0.0,0.035,0.0,1010900000.0,93.0,0.0,0.0,0.0225,0.2,-1.4999999999999999e-05,-6000000.0,1.0,0.01,100000.0,620000000.0,0.0,0,1.0,0.1,0,557.0,773000000.0,0.0,2.9999999999999997e-05,0.1,0.0,0.0225,9.999999999999999e-06,0.975,1.3,0.04,0,0.00025,0.03,9.999999999999999e-06,2.5,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.875,0.005,1.5,605500000.0,0.0,0.0,0.014,83506780.0,0.05,200.0,0.0,0.018000000000000002,1.0,0.0,610.0,0.78,0.174746,0.01125,0.1634945,0,0.032,0.0225,39.0,0.02,0.03,0.3,10.0,550.0,0.03,0.0,0.02,0.0,0.48,0.03,0.0,1088300000.0,766000000.0,0.7,0.0
520,520,2025/10/12 06:48:30,0.007,0.0,0.0,b'251007_dmd0_iterative_compensation_pinning_10n.pkl',0.0,0,0,0.0,0.03,200.0,0.0,0.035,0.0,854000000.0,93.0,0.0,0.0,0.0225,0.2,-1.4999999999999999e-05,-6000000.0,0.0,0.01,100000.0,620000000.0,0.0,0,1.0,0.1,0,557.0,773000000.0,0.0,2.9999999999999997e-05,0.1,0.0,0.0225,9.999999999999999e-06,0.975,1.3,0.001,0,0.00025,0.03,4.9999999999999996e-06,2.5,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.875,0.005,1.5,450000000.0,0.0,0.0,0.014,228200000.0,0.05,200.0,0.0,0.018000000000000002,1.0,0.0,500.0,0.78,0.174746,0.01125,0.1634945,0,0.032,0.0225,40.0,0.02,0.03,0.3,10.0,550.0,0.03,0.0,0.02,0.0,0.48,0.03,0.0,932600000.0,300000000.0,0.0,0.0
521,521,2025/10/12 06:48:46,0.007,0.0,0.0,b'251007_dmd0_iterative_compensation_pinning_10n.pkl',0.0,0,0,0.0,0.03,200.0,0.0,0.035,0.0,1010900000.0,93.0,0.0,0.0,0.0225,0.2,-1.4999999999999999e-05,-6000000.0,1.0,0.01,100000.0,620000000.0,0.0,0,1.0,0.1,0,557.0,773000000.0,0.0,2.9999999999999997e-05,0.1,0.0,0.0225,9.999999999999999e-06,0.975,1.3,0.04,0,0.00025,0.03,9.999999999999999e-06,2.5,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.875,0.005,1.5,605500000.0,0.0,0.0,0.014,83506780.0,0.05,200.0,0.0,0.018000000000000002,1.0,0.0,610.0,0.78,0.174746,0.01125,0.1634945,0,0.032,0.0225,41.0,0.02,0.03,0.3,10.0,550.0,0.03,0.0,0.02,0.0,0.48,0.03,0.0,1088300000.0,766000000.0,0.7,0.0
522,522,2025/10/12 06:49:02,0.007,0.0,0.0,b'251007_dmd0_iterative_compensation_pinning_10p.pkl',0.0,0,0,0.0,0.03,200.0,0.0,0.035,0.0,854000000.0,93.0,0.0,0.0,0.0225,0.2,-1.4999999999999999e-05,-6000000.0,0.0,0.01,100000.0,620000000.0,0.0,0,1.0,0.1,0,557.0,773000000.0,0.0,2.9999999999999997e-05,0.1,0.0,0.0225,9.999999999999999e-06,0.975,1.3,0.001,0,0.00025,0.03,4.9999999999999996e-06,2.5,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.875,0.005,1.5,450000000.0,0.0,0.0,0.014,228200000.0,0.05,200.0,0.0,0.018000000000000002,1.0,0.0,500.0,0.78,0.174746,0.01125,0.1634945,0,0.032,0.0225,42.0,0.02,0.03,0.3,10.0,550.0,0.03,0.0,0.02,0.0,0.48,0.03,0.0,932600000.0,300000000.0,0.0,0.0
523,523,2025/10/12 06:49:17,0.007,0.0,0.0,b'251007_dmd0_iterative_compensation_pinning_10p.pkl',0.0,0,0,0.0,0.03,200.0,0.0,0.035,0.0,1010900000.0,93.0,0.0,0.0,0.0225,0.2,-1.4999999999999999e-05,-6000000.0,1.0,0.01,100000.0,620000000.0,0.0,0,1.0,0.1,0,557.0,773000000.0,0.0,2.9999999999999997e-05,0.1,0.0,0.0225,9.999999999999999e-06,0.975,1.3,0.04,0,0.00025,0.03,9.999999999999999e-06,2.5,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.875,0.005,1.5,605500000.0,0.0,0.0,0.014,83506780.0,0.05,200.0,0.0,0.018000000000000002,1.0,0.0,610.0,0.78,0.174746,0.01125,0.1634945,0,0.032,0.0225,43.0,0.02,0.03,0.3,10.0,550.0,0.03,0.0,0.02,0.0,0.48,0.03,0.0,1088300000.0,766000000.0,0.7,0.0
524,524,2025/10/12 06:49:34,0.007,0.0,0.0,b'251007_dmd0_iterative_compensation_pinning_12n.pkl',0.0,0,0,0.0,0.03,200.0,0.0,0.035,0.0,854000000.0,93.0,0.0,0.0,0.0225,0.2,-1.4999999999999999e-05,-6000000.0,0.0,0.01,100000.0,620000000.0,0.0,0,1.0,0.1,0,557.0,773000000.0,0.0,2.9999999999999997e-05,0.1,0.0,0.0225,9.999999999999999e-06,0.975,1.3,0.001,0,0.00025,0.03,4.9999999999999996e-06,2.5,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.875,0.005,1.5,450000000.0,0.0,0.0,0.014,228200000.0,0.05,200.0,0.0,0.018000000000000002,1.0,0.0,500.0,0.78,0.174746,0.01125,0.1634945,0,0.032,0.0225,44.0,0.02,0.03,0.3,10.0,550.0,0.03,0.0,0.02,0.0,0.48,0.03,0.0,932600000.0,300000000.0,0.0,0.0
525,525,2025/10/12 06:49:49,0.007,0.0,0.0,b'251007_dmd0_iterative_compensation_pinning_12n.pkl',0.0,0,0,0.0,0.03,200.0,0.0,0.035,0.0,1010900000.0,93.0,0.0,0.0,0.0225,0.2,-1.4999999999999999e-05,-6000000.0,1.0,0.01,100000.0,620000000.0,0.0,0,1.0,0.1,0,557.0,773000000.0,0.0,2.9999999999999997e-05,0.1,0.0,0.0225,9.999999999999999e-06,0.975,1.3,0.04,0,0.00025,0.03,9.999999999999999e-06,2.5,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.875,0.005,1.5,605500000.0,0.0,0.0,0.014,83506780.0,0.05,200.0,0.0,0.018000000000000002,1.0,0.0,610.0,0.78,0.174746,0.01125,0.1634945,0,0.032,0.0225,45.0,0.02,0.03,0.3,10.0,550.0,0.03,0.0,0.02,0.0,0.48,0.03,0.0,1088300000.0,766000000.0,0.7,0.0
526,526,2025/10/12 06:50:05,0.007,0.0,0.0,b'251007_dmd0_iterative_compensation_pinning_12p.pkl',0.0,0,0,0.0,0.03,200.0,0.0,0.035,0.0,854000000.0,93.0,0.0,0.0,0.0225,0.2,-1.4999999999999999e-05,-6000000.0,0.0,0.01,100000.0,620000000.0,0.0,0,1.0,0.1,0,557.0,773000000.0,0.0,2.9999999999999997e-05,0.1,0.0,0.0225,9.999999999999999e-06,0.975,1.3,0.001,0,0.00025,0.03,4.9999999999999996e-06,2.5,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.875,0.005,1.5,450000000.0,0.0,0.0,0.014,228200000.0,0.05,200.0,0.0,0.018000000000000002,1.0,0.0,500.0,0.78,0.174746,0.01125,0.1634945,0,0.032,0.0225,46.0,0.02,0.03,0.3,10.0,550.0,0.03,0.0,0.02,0.0,0.48,0.03,0.0,932600000.0,300000000.0,0.0,0.0
527,527,2025/10/12 06:50:21,0.007,0.0,0.0,b'251007_dmd0_iterative_compensation_pinning_12p.pkl',0.0,0,0,0.0,0.03,200.0,0.0,0.035,0.0,1010900000.0,93.0,0.0,0.0,0.0225,0.2,-1.4999999999999999e-05,-6000000.0,1.0,0.01,100000.0,620000000.0,0.0,0,1.0,0.1,0,557.0,773000000.0,0.0,2.9999999999999997e-05,0.1,0.0,0.0225,9.999999999999999e-06,0.975,1.3,0.04,0,0.00025,0.03,9.999999999999999e-06,2.5,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.875,0.005,1.5,605500000.0,0.0,0.0,0.014,83506780.0,0.05,200.0,0.0,0.018000000000000002,1.0,0.0,610.0,0.78,0.174746,0.01125,0.1634945,0,0.032,0.0225,47.0,0.02,0.03,0.3,10.0,550.0,0.03,0.0,0.02,0.0,0.48,0.03,0.0,1088300000.0,766000000.0,0.7,0.0
528,528,2025/10/12 06:50:37,0.007,0.0,0.0,b'251007_dmd0_iterative_compensation_pinning_16n.pkl',0.0,0,0,0.0,0.03,200.0,0.0,0.035,0.0,854000000.0,93.0,0.0,0.0,0.0225,0.2,-1.4999999999999999e-05,-6000000.0,0.0,0.01,100000.0,620000000.0,0.0,0,1.0,0.1,0,557.0,773000000.0,0.0,2.9999999999999997e-05,0.1,0.0,0.0225,9.999999999999999e-06,0.975,1.3,0.001,0,0.00025,0.03,4.9999999999999996e-06,2.5,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.875,0.005,1.5,450000000.0,0.0,0.0,0.014,228200000.0,0.05,200.0,0.0,0.018000000000000002,1.0,0.0,500.0,0.78,0.174746,0.01125,0.1634945,0,0.032,0.0225,48.0,0.02,0.03,0.3,10.0,550.0,0.03,0.0,0.02,0.0,0.48,0.03,0.0,932600000.0,300000000.0,0.0,0.0
529,529,2025/10/12 06:50:53,0.007,0.0,0.0,b'251007_dmd0_iterative_compensation_pinning_16n.pkl',0.0,0,0,0.0,0.03,200.0,0.0,0.035,0.0,1010900000.0,93.0,0.0,0.0,0.0225,0.2,-1.4999999999999999e-05,-6000000.0,1.0,0.01,100000.0,620000000.0,0.0,0,1.0,0.1,0,557.0,773000000.0,0.0,2.9999999999999997e-05,0.1,0.0,0.0225,9.999999999999999e-06,0.975,1.3,0.04,0,0.00025,0.03,9.999999999999999e-06,2.5,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.875,0.005,1.5,605500000.0,0.0,0.0,0.014,83506780.0,0.05,200.0,0.0,0.018000000000000002,1.0,0.0,610.0,0.78,0.174746,0.01125,0.1634945,0,0.032,0.0225,49.0,0.02,0.03,0.3,10.0,550.0,0.03,0.0,0.02,0.0,0.48,0.03,0.0,1088300000.0,766000000.0,0.7,0.0
530,530,2025/10/12 06:51:09,0.007,0.0,0.0,b'251007_dmd0_iterative_compensation_pinning_16p.pkl',0.0,0,0,0.0,0.03,200.0,0.0,0.035,0.0,854000000.0,93.0,0.0,0.0,0.0225,0.2,-1.4999999999999999e-05,-6000000.0,0.0,0.01,100000.0,620000000.0,0.0,0,1.0,0.1,0,557.0,773000000.0,0.0,2.9999999999999997e-05,0.1,0.0,0.0225,9.999999999999999e-06,0.975,1.3,0.001,0,0.00025,0.03,4.9999999999999996e-06,2.5,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.875,0.005,1.5,450000000.0,0.0,0.0,0.014,228200000.0,0.05,200.0,0.0,0.018000000000000002,1.0,0.0,500.0,0.78,0.174746,0.01125,0.1634945,0,0.032,0.0225,50.0,0.02,0.03,0.3,10.0,550.0,0.03,0.0,0.02,0.0,0.48,0.03,0.0,932600000.0,300000000.0,0.0,0.0
531,531,2025/10/12 06:51:25,0.007,0.0,0.0,b'251007_dmd0_iterative_compensation_pinning_16p.pkl',0.0,0,0,0.0,0.03,200.0,0.0,0.035,0.0,1010900000.0,93.0,0.0,0.0,0.0225,0.2,-1.4999999999999999e-05,-6000000.0,1.0,0.01,100000.0,620000000.0,0.0,0,1.0,0.1,0,557.0,773000000.0,0.0,2.9999999999999997e-05,0.1,0.0,0.0225,9.999999999999999e-06,0.975,1.3,0.04,0,0.00025,0.03,9.999999999999999e-06,2.5,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.875,0.005,1.5,605500000.0,0.0,0.0,0.014,83506780.0,0.05,200.0,0.0,0.018000000000000002,1.0,0.0,610.0,0.78,0.174746,0.01125,0.1634945,0,0.032,0.0225,51.0,0.02,0.03,0.3,10.0,550.0,0.03,0.0,0.02,0.0,0.48,0.03,0.0,1088300000.0,766000000.0,0.7,0.0
532,532,2025/10/12 06:51:41,0.007,0.0,0.0,b'251007_dmd0_iterative_compensation_pinning_20n.pkl',0.0,0,0,0.0,0.03,200.0,0.0,0.035,0.0,854000000.0,93.0,0.0,0.0,0.0225,0.2,-1.4999999999999999e-05,-6000000.0,0.0,0.01,100000.0,620000000.0,0.0,0,1.0,0.1,0,557.0,773000000.0,0.0,2.9999999999999997e-05,0.1,0.0,0.0225,9.999999999999999e-06,0.975,1.3,0.001,0,0.00025,0.03,4.9999999999999996e-06,2.5,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.875,0.005,1.5,450000000.0,0.0,0.0,0.014,228200000.0,0.05,200.0,0.0,0.018000000000000002,1.0,0.0,500.0,0.78,0.174746,0.01125,0.1634945,0,0.032,0.0225,52.0,0.02,0.03,0.3,10.0,550.0,0.03,0.0,0.02,0.0,0.48,0.03,0.0,932600000.0,300000000.0,0.0,0.0
533,533,2025/10/12 06:51:56,0.007,0.0,0.0,b'251007_dmd0_iterative_compensation_pinning_20n.pkl',0.0,0,0,0.0,0.03,200.0,0.0,0.035,0.0,1010900000.0,93.0,0.0,0.0,0.0225,0.2,-1.4999999999999999e-05,-6000000.0,1.0,0.01,100000.0,620000000.0,0.0,0,1.0,0.1,0,557.0,773000000.0,0.0,2.9999999999999997e-05,0.1,0.0,0.0225,9.999999999999999e-06,0.975,1.3,0.04,0,0.00025,0.03,9.999999999999999e-06,2.5,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.875,0.005,1.5,605500000.0,0.0,0.0,0.014,83506780.0,0.05,200.0,0.0,0.018000000000000002,1.0,0.0,610.0,0.78,0.174746,0.01125,0.1634945,0,0.032,0.0225,53.0,0.02,0.03,0.3,10.0,550.0,0.03,0.0,0.02,0.0,0.48,0.03,0.0,1088300000.0,766000000.0,0.7,0.0
534,534,2025/10/12 06:52:12,0.007,0.0,0.0,b'251007_dmd0_iterative_compensation_pinning_20p.pkl',0.0,0,0,0.0,0.03,200.0,0.0,0.035,0.0,854000000.0,93.0,0.0,0.0,0.0225,0.2,-1.4999999999999999e-05,-6000000.0,0.0,0.01,100000.0,620000000.0,0.0,0,1.0,0.1,0,557.0,773000000.0,0.0,2.9999999999999997e-05,0.1,0.0,0.0225,9.999999999999999e-06,0.975,1.3,0.001,0,0.00025,0.03,4.9999999999999996e-06,2.5,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.875,0.005,1.5,450000000.0,0.0,0.0,0.014,228200000.0,0.05,200.0,0.0,0.018000000000000002,1.0,0.0,500.0,0.78,0.174746,0.01125,0.1634945,0,0.032,0.0225,54.0,0.02,0.03,0.3,10.0,550.0,0.03,0.0,0.02,0.0,0.48,0.03,0.0,932600000.0,300000000.0,0.0,0.0
535,535,2025/10/12 06:52:28,0.007,0.0,0.0,b'251007_dmd0_iterative_compensation_pinning_20p.pkl',0.0,0,0,0.0,0.03,200.0,0.0,0.035,0.0,1010900000.0,93.0,0.0,0.0,0.0225,0.2,-1.4999999999999999e-05,-6000000.0,1.0,0.01,100000.0,620000000.0,0.0,0,1.0,0.1,0,557.0,773000000.0,0.0,2.9999999999999997e-05,0.1,0.0,0.0225,9.999999999999999e-06,0.975,1.3,0.04,0,0.00025,0.03,9.999999999999999e-06,2.5,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.875,0.005,1.5,605500000.0,0.0,0.0,0.014,83506780.0,0.05,200.0,0.0,0.018000000000000002,1.0,0.0,610.0,0.78,0.174746,0.01125,0.1634945,0,0.032,0.0225,55.0,0.02,0.03,0.3,10.0,550.0,0.03,0.0,0.02,0.0,0.48,0.03,0.0,1088300000.0,766000000.0,0.7,0.0
536,536,2025/10/12 06:52:44,0.007,0.0,0.0,b'251007_dmd0_iterative_compensation_pinning_4n.pkl',0.0,0,0,0.0,0.03,200.0,0.0,0.035,0.0,854000000.0,93.0,0.0,0.0,0.0225,0.2,-1.4999999999999999e-05,-6000000.0,0.0,0.01,100000.0,620000000.0,0.0,0,1.0,0.1,0,557.0,773000000.0,0.0,2.9999999999999997e-05,0.1,0.0,0.0225,9.999999999999999e-06,0.975,1.3,0.001,0,0.00025,0.03,4.9999999999999996e-06,2.5,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.875,0.005,1.5,450000000.0,0.0,0.0,0.014,228200000.0,0.05,200.0,0.0,0.018000000000000002,1.0,0.0,500.0,0.78,0.174746,0.01125,0.1634945,0,0.032,0.0225,56.0,0.02,0.03,0.3,10.0,550.0,0.03,0.0,0.02,0.0,0.48,0.03,0.0,932600000.0,300000000.0,0.0,0.0
