shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.NematicLatticeModulationTime,GlobalLatticeVariables2.UnloadLatticeRampTime,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.LatticeFreezePhysicsNorthwestPower,GlobalLatticeVariables2.UnloadLatticeYPower,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.IsDMDLatticeModulation,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampWaitTime,LocalVariables.ScanID4,GlobalLatticeVariables2.LoadingGradientRadialLoadingField,GlobalImagingVariables2.SpinBlowOutPulsePulseWidth,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionFinalPower,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.NematicLatticeModulationPreHoldTime,GlobalImagingVariables2.SecondSpinBlowOutPulseMagneticField,LocalVariables.ScanID2,GlobalImagingVariables2.FourthSpinBlowOutPulseDetuning,GlobalImagingVariables2.SecondSpinBlowOutPulseDetuning,GlobalMotVariables2.MotExtAmplitudeCompressed,GlobalLatticeVariables2.NematicLatticeModulationPostHoldTime,GlobalLatticeVariables2.isImageExpandedCheckerboard,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalImagingVariables2.SpinBlowNorthwestPower,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.DMDModulationFrequency,GlobalLatticeVariables2.NematicLatticeModulationFrequency,GlobalLatticeVariables2.IsImageBIFormation,GlobalLatticeVariables2.NematicLatticeModulationXbarPhase,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalImagingVariables2.SecondSpinBlowOutPulseThreeHalvesExtAmplitude,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampDelayTime,GlobalScienceChamberEvaporationVariables2.AccordionCompressionDimplePower,GlobalLatticeVariables2.IsNematicLatticeModulation,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.Dmd1PatternFilename,GlobalLatticeVariables2.ImagingLatticeFreezeTime,GlobalImagingVariables2.SecondSpinBlowOutPulseOneHalfExtAmplitude,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.DMDModulationAmplitude,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalImagingVariables2.FifthSpinBlowOutPulseDetuning,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalMotVariables2.MotRepumpExtAmplitudeCompressed,GlobalLatticeVariables2.CleanupBandInsulatorWaitTime,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.SecondDMD1RampPower,LocalVariables.ScanID3,LocalVariables.ShotTypeID,GlobalLatticeVariables2.ReloadLatticeRampTime,GlobalImagingVariables2.ThirdSpinBlowOutPulseDetuning,GlobalLatticeVariables2.LoadingGradientNorthwestInitialPower,GlobalLatticeVariables2.DMDModulationTime,LocalVariables.DMDID2,GlobalImagingVariables2.SpinBlowOutPulseDetuning,GlobalLatticeVariables2.SecondDMD1RampTime,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.PhysicsSplitFieldRampDelayTime,GlobalImagingVariables2.SecondSpinBlowOutPulsePulseWidth,LocalVariables.DMDID,GlobalLatticeVariables2.DMDModulationPreHoldTime,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.Dmd1ModPattern,GlobalMotVariables2.MotDetuningCompressed,GlobalLatticeVariables2.DMDModulationOffset,LocalVariables.ScanID5,LocalVariables.XbarFrequency,GlobalLatticeVariables2.LatticeFreezeNorthwestPower,GlobalLatticeVariables2.IsRoundTripReloading,GlobalLatticeVariables2.UnloadLatticeXPower,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionInitialPower,GlobalLatticeVariables2.LatticeFreezeVerticalPower
10,10,2025/10/06 17:26:34,0.975,0.03,0.01,2.9999999999999997e-05,1.0,0.007,0.0225,0,0.001,0.0,0.0,550.0,4.9999999999999996e-06,1.0,0.0033,100000.0,0.0,500.0,0.875,854000000.0,300000000.0,0.78,0.0,0,0.035,93.0,1.5,0.0,10.0,590.0,0.0225,200.0,200.0,0,0.0,0.03,0.0,-1.4999999999999999e-05,0.3,0,228200000.0,b'251001_dmd0_iterative_compensation_pinning_8p.pkl',b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.02,0.0,0.174746,0.0,0.018000000000000002,620000000.0,0.03,0.48,0.03,0.0,0.014,0.0,10.0,0.1,932600000.0,0.05,0.03,0.0,450000000.0,0.02,0.01125,0.2,0.032,0.0,9.999999999999999e-06,0.0,0.0,0.1,0.0,0,0.0,-6000000.0,0.0,0.0,773000000.0,1.3,0,0.00025,0.005,0.0225,0.1634945,2.5,0.0
11,11,2025/10/06 17:26:49,0.975,0.03,0.01,2.9999999999999997e-05,1.0,0.007,0.0225,0,0.04,0.0,0.0,550.0,9.999999999999999e-06,1.0,0.0033,100000.0,0.0,610.0,0.875,1010900000.0,766000000.0,0.78,0.0,0,0.035,93.0,1.5,0.0,10.0,590.0,0.0225,200.0,200.0,0,0.0,0.03,0.0,-1.4999999999999999e-05,0.3,0,83506780.0,b'251001_dmd0_iterative_compensation_pinning_8p.pkl',b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.02,0.7,0.174746,0.0,0.018000000000000002,620000000.0,0.03,0.48,0.03,0.0,0.014,0.0,11.0,0.1,1088300000.0,0.05,0.03,0.0,605500000.0,0.02,0.01125,0.2,0.032,0.0,9.999999999999999e-06,0.0,0.0,0.1,1.0,0,0.0,-6000000.0,0.0,0.0,773000000.0,1.3,0,0.00025,0.005,0.0225,0.1634945,2.5,0.0
12,12,2025/10/06 17:27:05,0.975,0.03,0.01,2.9999999999999997e-05,1.0,0.007,0.0225,0,0.001,0.0,0.0,550.0,4.9999999999999996e-06,1.0,0.0033,100000.0,0.0,500.0,0.875,854000000.0,300000000.0,0.78,0.0,0,0.035,93.0,1.5,0.0,10.0,590.0,0.0225,200.0,200.0,0,0.0,0.03,0.0,-1.4999999999999999e-05,0.3,0,228200000.0,b'251001_dmd0_iterative_compensation_pinning_10n.pkl',b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.02,0.0,0.174746,0.0,0.018000000000000002,620000000.0,0.03,0.48,0.03,0.0,0.014,0.0,12.0,0.1,932600000.0,0.05,0.03,0.0,450000000.0,0.02,0.01125,0.2,0.032,0.0,9.999999999999999e-06,0.0,0.0,0.1,0.0,0,0.0,-6000000.0,0.0,0.0,773000000.0,1.3,0,0.00025,0.005,0.0225,0.1634945,2.5,0.0
13,13,2025/10/06 17:27:21,0.975,0.03,0.01,2.9999999999999997e-05,1.0,0.007,0.0225,0,0.04,0.0,0.0,550.0,9.999999999999999e-06,1.0,0.0033,100000.0,0.0,610.0,0.875,1010900000.0,766000000.0,0.78,0.0,0,0.035,93.0,1.5,0.0,10.0,590.0,0.0225,200.0,200.0,0,0.0,0.03,0.0,-1.4999999999999999e-05,0.3,0,83506780.0,b'251001_dmd0_iterative_compensation_pinning_10n.pkl',b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.02,0.7,0.174746,0.0,0.018000000000000002,620000000.0,0.03,0.48,0.03,0.0,0.014,0.0,13.0,0.1,1088300000.0,0.05,0.03,0.0,605500000.0,0.02,0.01125,0.2,0.032,0.0,9.999999999999999e-06,0.0,0.0,0.1,1.0,0,0.0,-6000000.0,0.0,0.0,773000000.0,1.3,0,0.00025,0.005,0.0225,0.1634945,2.5,0.0
14,14,2025/10/06 17:27:37,0.975,0.03,0.01,2.9999999999999997e-05,1.0,0.007,0.0225,0,0.001,0.0,0.0,550.0,4.9999999999999996e-06,1.0,0.0033,100000.0,0.0,500.0,0.875,854000000.0,300000000.0,0.78,0.0,0,0.035,93.0,1.5,0.0,10.0,590.0,0.0225,200.0,200.0,0,0.0,0.03,0.0,-1.4999999999999999e-05,0.3,0,228200000.0,b'251001_dmd0_iterative_compensation_pinning_10p.pkl',b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.02,0.0,0.174746,0.0,0.018000000000000002,620000000.0,0.03,0.48,0.03,0.0,0.014,0.0,14.0,0.1,932600000.0,0.05,0.03,0.0,450000000.0,0.02,0.01125,0.2,0.032,0.0,9.999999999999999e-06,0.0,0.0,0.1,0.0,0,0.0,-6000000.0,0.0,0.0,773000000.0,1.3,0,0.00025,0.005,0.0225,0.1634945,2.5,0.0
15,15,2025/10/06 17:27:53,0.975,0.03,0.01,2.9999999999999997e-05,1.0,0.007,0.0225,0,0.04,0.0,0.0,550.0,9.999999999999999e-06,1.0,0.0033,100000.0,0.0,610.0,0.875,1010900000.0,766000000.0,0.78,0.0,0,0.035,93.0,1.5,0.0,10.0,590.0,0.0225,200.0,200.0,0,0.0,0.03,0.0,-1.4999999999999999e-05,0.3,0,83506780.0,b'251001_dmd0_iterative_compensation_pinning_10p.pkl',b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.02,0.7,0.174746,0.0,0.018000000000000002,620000000.0,0.03,0.48,0.03,0.0,0.014,0.0,15.0,0.1,1088300000.0,0.05,0.03,0.0,605500000.0,0.02,0.01125,0.2,0.032,0.0,9.999999999999999e-06,0.0,0.0,0.1,1.0,0,0.0,-6000000.0,0.0,0.0,773000000.0,1.3,0,0.00025,0.005,0.0225,0.1634945,2.5,0.0
16,16,2025/10/06 17:28:09,0.975,0.03,0.01,2.9999999999999997e-05,1.0,0.007,0.0225,0,0.001,0.0,0.0,550.0,4.9999999999999996e-06,1.0,0.0033,100000.0,0.0,500.0,0.875,854000000.0,300000000.0,0.78,0.0,0,0.035,93.0,1.5,0.0,10.0,590.0,0.0225,200.0,200.0,0,0.0,0.03,0.0,-1.4999999999999999e-05,0.3,0,228200000.0,b'251001_dmd0_iterative_compensation_pinning_12n.pkl',b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.02,0.0,0.174746,0.0,0.018000000000000002,620000000.0,0.03,0.48,0.03,0.0,0.014,0.0,16.0,0.1,932600000.0,0.05,0.03,0.0,450000000.0,0.02,0.01125,0.2,0.032,0.0,9.999999999999999e-06,0.0,0.0,0.1,0.0,0,0.0,-6000000.0,0.0,0.0,773000000.0,1.3,0,0.00025,0.005,0.0225,0.1634945,2.5,0.0
17,17,2025/10/06 17:28:25,0.975,0.03,0.01,2.9999999999999997e-05,1.0,0.007,0.0225,0,0.04,0.0,0.0,550.0,9.999999999999999e-06,1.0,0.0033,100000.0,0.0,610.0,0.875,1010900000.0,766000000.0,0.78,0.0,0,0.035,93.0,1.5,0.0,10.0,590.0,0.0225,200.0,200.0,0,0.0,0.03,0.0,-1.4999999999999999e-05,0.3,0,83506780.0,b'251001_dmd0_iterative_compensation_pinning_12n.pkl',b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.02,0.7,0.174746,0.0,0.018000000000000002,620000000.0,0.03,0.48,0.03,0.0,0.014,0.0,17.0,0.1,1088300000.0,0.05,0.03,0.0,605500000.0,0.02,0.01125,0.2,0.032,0.0,9.999999999999999e-06,0.0,0.0,0.1,1.0,0,0.0,-6000000.0,0.0,0.0,773000000.0,1.3,0,0.00025,0.005,0.0225,0.1634945,2.5,0.0
18,18,2025/10/06 17:28:41,0.975,0.03,0.01,2.9999999999999997e-05,1.0,0.007,0.0225,0,0.001,0.0,0.0,550.0,4.9999999999999996e-06,1.0,0.0033,100000.0,0.0,500.0,0.875,854000000.0,300000000.0,0.78,0.0,0,0.035,93.0,1.5,0.0,10.0,590.0,0.0225,200.0,200.0,0,0.0,0.03,0.0,-1.4999999999999999e-05,0.3,0,228200000.0,b'251001_dmd0_iterative_compensation_pinning_12p.pkl',b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.02,0.0,0.174746,0.0,0.018000000000000002,620000000.0,0.03,0.48,0.03,0.0,0.014,0.0,18.0,0.1,932600000.0,0.05,0.03,0.0,450000000.0,0.02,0.01125,0.2,0.032,0.0,9.999999999999999e-06,0.0,0.0,0.1,0.0,0,0.0,-6000000.0,0.0,0.0,773000000.0,1.3,0,0.00025,0.005,0.0225,0.1634945,2.5,0.0
19,19,2025/10/06 17:28:56,0.975,0.03,0.01,2.9999999999999997e-05,1.0,0.007,0.0225,0,0.04,0.0,0.0,550.0,9.999999999999999e-06,1.0,0.0033,100000.0,0.0,610.0,0.875,1010900000.0,766000000.0,0.78,0.0,0,0.035,93.0,1.5,0.0,10.0,590.0,0.0225,200.0,200.0,0,0.0,0.03,0.0,-1.4999999999999999e-05,0.3,0,83506780.0,b'251001_dmd0_iterative_compensation_pinning_12p.pkl',b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.02,0.7,0.174746,0.0,0.018000000000000002,620000000.0,0.03,0.48,0.03,0.0,0.014,0.0,19.0,0.1,1088300000.0,0.05,0.03,0.0,605500000.0,0.02,0.01125,0.2,0.032,0.0,9.999999999999999e-06,0.0,0.0,0.1,1.0,0,0.0,-6000000.0,0.0,0.0,773000000.0,1.3,0,0.00025,0.005,0.0225,0.1634945,2.5,0.0
20,20,2025/10/06 17:29:13,0.975,0.03,0.01,2.9999999999999997e-05,1.0,0.007,0.0225,0,0.001,0.0,0.0,550.0,4.9999999999999996e-06,1.0,0.0033,100000.0,0.0,500.0,0.875,854000000.0,300000000.0,0.78,0.0,0,0.035,93.0,1.5,0.0,10.0,590.0,0.0225,200.0,200.0,0,0.0,0.03,0.0,-1.4999999999999999e-05,0.3,0,228200000.0,b'251001_dmd0_iterative_compensation_pinning_16n.pkl',b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.02,0.0,0.174746,0.0,0.018000000000000002,620000000.0,0.03,0.48,0.03,0.0,0.014,0.0,20.0,0.1,932600000.0,0.05,0.03,0.0,450000000.0,0.02,0.01125,0.2,0.032,0.0,9.999999999999999e-06,0.0,0.0,0.1,0.0,0,0.0,-6000000.0,0.0,0.0,773000000.0,1.3,0,0.00025,0.005,0.0225,0.1634945,2.5,0.0
21,21,2025/10/06 17:29:28,0.975,0.03,0.01,2.9999999999999997e-05,1.0,0.007,0.0225,0,0.04,0.0,0.0,550.0,9.999999999999999e-06,1.0,0.0033,100000.0,0.0,610.0,0.875,1010900000.0,766000000.0,0.78,0.0,0,0.035,93.0,1.5,0.0,10.0,590.0,0.0225,200.0,200.0,0,0.0,0.03,0.0,-1.4999999999999999e-05,0.3,0,83506780.0,b'251001_dmd0_iterative_compensation_pinning_16n.pkl',b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.02,0.7,0.174746,0.0,0.018000000000000002,620000000.0,0.03,0.48,0.03,0.0,0.014,0.0,21.0,0.1,1088300000.0,0.05,0.03,0.0,605500000.0,0.02,0.01125,0.2,0.032,0.0,9.999999999999999e-06,0.0,0.0,0.1,1.0,0,0.0,-6000000.0,0.0,0.0,773000000.0,1.3,0,0.00025,0.005,0.0225,0.1634945,2.5,0.0
22,22,2025/10/06 17:29:44,0.975,0.03,0.01,2.9999999999999997e-05,1.0,0.007,0.0225,0,0.001,0.0,0.0,550.0,4.9999999999999996e-06,1.0,0.0033,100000.0,0.0,500.0,0.875,854000000.0,300000000.0,0.78,0.0,0,0.035,93.0,1.5,0.0,10.0,590.0,0.0225,200.0,200.0,0,0.0,0.03,0.0,-1.4999999999999999e-05,0.3,0,228200000.0,b'251001_dmd0_iterative_compensation_pinning_16p.pkl',b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.02,0.0,0.174746,0.0,0.018000000000000002,620000000.0,0.03,0.48,0.03,0.0,0.014,0.0,22.0,0.1,932600000.0,0.05,0.03,0.0,450000000.0,0.02,0.01125,0.2,0.032,0.0,9.999999999999999e-06,0.0,0.0,0.1,0.0,0,0.0,-6000000.0,0.0,0.0,773000000.0,1.3,0,0.00025,0.005,0.0225,0.1634945,2.5,0.0
23,23,2025/10/06 17:30:00,0.975,0.03,0.01,2.9999999999999997e-05,1.0,0.007,0.0225,0,0.04,0.0,0.0,550.0,9.999999999999999e-06,1.0,0.0033,100000.0,0.0,610.0,0.875,1010900000.0,766000000.0,0.78,0.0,0,0.035,93.0,1.5,0.0,10.0,590.0,0.0225,200.0,200.0,0,0.0,0.03,0.0,-1.4999999999999999e-05,0.3,0,83506780.0,b'251001_dmd0_iterative_compensation_pinning_16p.pkl',b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.02,0.7,0.174746,0.0,0.018000000000000002,620000000.0,0.03,0.48,0.03,0.0,0.014,0.0,23.0,0.1,1088300000.0,0.05,0.03,0.0,605500000.0,0.02,0.01125,0.2,0.032,0.0,9.999999999999999e-06,0.0,0.0,0.1,1.0,0,0.0,-6000000.0,0.0,0.0,773000000.0,1.3,0,0.00025,0.005,0.0225,0.1634945,2.5,0.0
24,24,2025/10/06 17:30:16,0.975,0.03,0.01,2.9999999999999997e-05,1.0,0.007,0.0225,0,0.001,0.0,0.0,550.0,4.9999999999999996e-06,1.0,0.0033,100000.0,0.0,500.0,0.875,854000000.0,300000000.0,0.78,0.0,0,0.035,93.0,1.5,0.0,10.0,590.0,0.0225,200.0,200.0,0,0.0,0.03,0.0,-1.4999999999999999e-05,0.3,0,228200000.0,b'251001_dmd0_iterative_compensation_pinning_20n.pkl',b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.02,0.0,0.174746,0.0,0.018000000000000002,620000000.0,0.03,0.48,0.03,0.0,0.014,0.0,24.0,0.1,932600000.0,0.05,0.03,0.0,450000000.0,0.02,0.01125,0.2,0.032,0.0,9.999999999999999e-06,0.0,0.0,0.1,0.0,0,0.0,-6000000.0,0.0,0.0,773000000.0,1.3,0,0.00025,0.005,0.0225,0.1634945,2.5,0.0
25,25,2025/10/06 17:30:32,0.975,0.03,0.01,2.9999999999999997e-05,1.0,0.007,0.0225,0,0.04,0.0,0.0,550.0,9.999999999999999e-06,1.0,0.0033,100000.0,0.0,610.0,0.875,1010900000.0,766000000.0,0.78,0.0,0,0.035,93.0,1.5,0.0,10.0,590.0,0.0225,200.0,200.0,0,0.0,0.03,0.0,-1.4999999999999999e-05,0.3,0,83506780.0,b'251001_dmd0_iterative_compensation_pinning_20n.pkl',b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.02,0.7,0.174746,0.0,0.018000000000000002,620000000.0,0.03,0.48,0.03,0.0,0.014,0.0,25.0,0.1,1088300000.0,0.05,0.03,0.0,605500000.0,0.02,0.01125,0.2,0.032,0.0,9.999999999999999e-06,0.0,0.0,0.1,1.0,0,0.0,-6000000.0,0.0,0.0,773000000.0,1.3,0,0.00025,0.005,0.0225,0.1634945,2.5,0.0
26,26,2025/10/06 17:30:48,0.975,0.03,0.01,2.9999999999999997e-05,1.0,0.007,0.0225,0,0.001,0.0,0.0,550.0,4.9999999999999996e-06,1.0,0.0033,100000.0,0.0,500.0,0.875,854000000.0,300000000.0,0.78,0.0,0,0.035,93.0,1.5,0.0,10.0,590.0,0.0225,200.0,200.0,0,0.0,0.03,0.0,-1.4999999999999999e-05,0.3,0,228200000.0,b'251001_dmd0_iterative_compensation_pinning_20p.pkl',b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.02,0.0,0.174746,0.0,0.018000000000000002,620000000.0,0.03,0.48,0.03,0.0,0.014,0.0,26.0,0.1,932600000.0,0.05,0.03,0.0,450000000.0,0.02,0.01125,0.2,0.032,0.0,9.999999999999999e-06,0.0,0.0,0.1,0.0,0,0.0,-6000000.0,0.0,0.0,773000000.0,1.3,0,0.00025,0.005,0.0225,0.1634945,2.5,0.0
27,27,2025/10/06 17:31:03,0.975,0.03,0.01,2.9999999999999997e-05,1.0,0.007,0.0225,0,0.04,0.0,0.0,550.0,9.999999999999999e-06,1.0,0.0033,100000.0,0.0,610.0,0.875,1010900000.0,766000000.0,0.78,0.0,0,0.035,93.0,1.5,0.0,10.0,590.0,0.0225,200.0,200.0,0,0.0,0.03,0.0,-1.4999999999999999e-05,0.3,0,83506780.0,b'251001_dmd0_iterative_compensation_pinning_20p.pkl',b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.02,0.7,0.174746,0.0,0.018000000000000002,620000000.0,0.03,0.48,0.03,0.0,0.014,0.0,27.0,0.1,1088300000.0,0.05,0.03,0.0,605500000.0,0.02,0.01125,0.2,0.032,0.0,9.999999999999999e-06,0.0,0.0,0.1,1.0,0,0.0,-6000000.0,0.0,0.0,773000000.0,1.3,0,0.00025,0.005,0.0225,0.1634945,2.5,0.0
28,28,2025/10/06 17:31:20,0.975,0.03,0.01,2.9999999999999997e-05,1.0,0.007,0.0225,0,0.001,0.0,0.0,550.0,4.9999999999999996e-06,1.0,0.0033,100000.0,0.0,500.0,0.875,854000000.0,300000000.0,0.78,0.0,0,0.035,93.0,1.5,0.0,10.0,590.0,0.0225,200.0,200.0,0,0.0,0.03,0.0,-1.4999999999999999e-05,0.3,0,228200000.0,b'251001_dmd0_iterative_compensation_pinning_4n.pkl',b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.02,0.0,0.174746,0.0,0.018000000000000002,620000000.0,0.03,0.48,0.03,0.0,0.014,0.0,28.0,0.1,932600000.0,0.05,0.03,0.0,450000000.0,0.02,0.01125,0.2,0.032,0.0,9.999999999999999e-06,0.0,0.0,0.1,0.0,0,0.0,-6000000.0,0.0,0.0,773000000.0,1.3,0,0.00025,0.005,0.0225,0.1634945,2.5,0.0
29,29,2025/10/06 17:31:35,0.975,0.03,0.01,2.9999999999999997e-05,1.0,0.007,0.0225,0,0.04,0.0,0.0,550.0,9.999999999999999e-06,1.0,0.0033,100000.0,0.0,610.0,0.875,1010900000.0,766000000.0,0.78,0.0,0,0.035,93.0,1.5,0.0,10.0,590.0,0.0225,200.0,200.0,0,0.0,0.03,0.0,-1.4999999999999999e-05,0.3,0,83506780.0,b'251001_dmd0_iterative_compensation_pinning_4n.pkl',b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.02,0.7,0.174746,0.0,0.018000000000000002,620000000.0,0.03,0.48,0.03,0.0,0.014,0.0,29.0,0.1,1088300000.0,0.05,0.03,0.0,605500000.0,0.02,0.01125,0.2,0.032,0.0,9.999999999999999e-06,0.0,0.0,0.1,1.0,0,0.0,-6000000.0,0.0,0.0,773000000.0,1.3,0,0.00025,0.005,0.0225,0.1634945,2.5,0.0
30,30,2025/10/06 17:31:51,0.975,0.03,0.01,2.9999999999999997e-05,1.0,0.007,0.0225,0,0.001,0.0,0.0,550.0,4.9999999999999996e-06,1.0,0.0033,100000.0,0.0,500.0,0.875,854000000.0,300000000.0,0.78,0.0,0,0.035,93.0,1.5,0.0,10.0,590.0,0.0225,200.0,200.0,0,0.0,0.03,0.0,-1.4999999999999999e-05,0.3,0,228200000.0,b'251001_dmd0_iterative_compensation_pinning_4p.pkl',b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.02,0.0,0.174746,0.0,0.018000000000000002,620000000.0,0.03,0.48,0.03,0.0,0.014,0.0,30.0,0.1,932600000.0,0.05,0.03,0.0,450000000.0,0.02,0.01125,0.2,0.032,0.0,9.999999999999999e-06,0.0,0.0,0.1,0.0,0,0.0,-6000000.0,0.0,0.0,773000000.0,1.3,0,0.00025,0.005,0.0225,0.1634945,2.5,0.0
31,31,2025/10/06 17:32:08,0.975,0.03,0.01,2.9999999999999997e-05,1.0,0.007,0.0225,0,0.04,0.0,0.0,550.0,9.999999999999999e-06,1.0,0.0033,100000.0,0.0,610.0,0.875,1010900000.0,766000000.0,0.78,0.0,0,0.035,93.0,1.5,0.0,10.0,590.0,0.0225,200.0,200.0,0,0.0,0.03,0.0,-1.4999999999999999e-05,0.3,0,83506780.0,b'251001_dmd0_iterative_compensation_pinning_4p.pkl',b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.02,0.7,0.174746,0.0,0.018000000000000002,620000000.0,0.03,0.48,0.03,0.0,0.014,0.0,31.000000000000004,0.1,1088300000.0,0.05,0.03,0.0,605500000.0,0.02,0.01125,0.2,0.032,0.0,9.999999999999999e-06,0.0,0.0,0.1,1.0,0,0.0,-6000000.0,0.0,0.0,773000000.0,1.3,0,0.00025,0.005,0.0225,0.1634945,2.5,0.0
32,32,2025/10/06 17:32:24,0.975,0.03,0.01,2.9999999999999997e-05,1.0,0.007,0.0225,0,0.001,0.0,0.0,550.0,4.9999999999999996e-06,1.0,0.0033,100000.0,0.0,500.0,0.875,854000000.0,300000000.0,0.78,0.0,0,0.035,93.0,1.5,0.0,10.0,590.0,0.0225,200.0,200.0,0,0.0,0.03,0.0,-1.4999999999999999e-05,0.3,0,228200000.0,b'251001_dmd0_iterative_compensation_pinning_6n.pkl',b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.02,0.0,0.174746,0.0,0.018000000000000002,620000000.0,0.03,0.48,0.03,0.0,0.014,0.0,32.0,0.1,932600000.0,0.05,0.03,0.0,450000000.0,0.02,0.01125,0.2,0.032,0.0,9.999999999999999e-06,0.0,0.0,0.1,0.0,0,0.0,-6000000.0,0.0,0.0,773000000.0,1.3,0,0.00025,0.005,0.0225,0.1634945,2.5,0.0
33,33,2025/10/06 17:32:40,0.975,0.03,0.01,2.9999999999999997e-05,1.0,0.007,0.0225,0,0.04,0.0,0.0,550.0,9.999999999999999e-06,1.0,0.0033,100000.0,0.0,610.0,0.875,1010900000.0,766000000.0,0.78,0.0,0,0.035,93.0,1.5,0.0,10.0,590.0,0.0225,200.0,200.0,0,0.0,0.03,0.0,-1.4999999999999999e-05,0.3,0,83506780.0,b'251001_dmd0_iterative_compensation_pinning_6n.pkl',b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.02,0.7,0.174746,0.0,0.018000000000000002,620000000.0,0.03,0.48,0.03,0.0,0.014,0.0,33.0,0.1,1088300000.0,0.05,0.03,0.0,605500000.0,0.02,0.01125,0.2,0.032,0.0,9.999999999999999e-06,0.0,0.0,0.1,1.0,0,0.0,-6000000.0,0.0,0.0,773000000.0,1.3,0,0.00025,0.005,0.0225,0.1634945,2.5,0.0
