shot_idx,shot_serial,shot_start_time,GlobalImagingVariables2.SecondSpinBlowOutPulseThreeHalvesExtAmplitude,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.PhysicsSplitFieldRampDelayTime,GlobalImagingVariables2.SecondSpinBlowOutPulseMagneticField,LocalVariables.ShotTypeID,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.DMDModulationPreHoldTime,GlobalMotVariables2.MotDetuningCompressed,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.LoadingGradientRadialLoadingField,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampWaitTime,GlobalLatticeVariables2.DMDModulationOffset,GlobalImagingVariables2.SpinBlowNorthwestPower,GlobalLatticeVariables2.NematicLatticeModulationTime,GlobalLatticeVariables2.LatticeFreezeNorthwestPower,GlobalLatticeVariables2.LoadingGradientNorthwestInitialPower,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.UnloadLatticeXPower,GlobalImagingVariables2.SpinBlowOutPulseDetuning,LocalVariables.XbarFrequency,GlobalLatticeVariables2.Dmd1PatternFilename,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalImagingVariables2.SecondSpinBlowOutPulseDetuning,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.NematicLatticeModulationXbarPhase,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionInitialPower,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.isImageExpandedCheckerboard,GlobalLatticeVariables2.DMDModulationAmplitude,LocalVariables.ScanID3,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.UnloadLatticeRampTime,GlobalMotVariables2.MotRepumpExtAmplitudeCompressed,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalImagingVariables2.FourthSpinBlowOutPulseDetuning,GlobalLatticeVariables2.NematicLatticeModulationPostHoldTime,GlobalLatticeVariables2.ImagingLatticeFreezeTime,GlobalLatticeVariables2.NematicLatticeModulationPreHoldTime,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.CleanupBandInsulatorWaitTime,GlobalImagingVariables2.SpinBlowOutPulsePulseWidth,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.LatticeFreezeVerticalPower,GlobalImagingVariables2.ThirdSpinBlowOutPulseDetuning,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.Dmd1ModPattern,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.DMDModulationTime,LocalVariables.ScanID5,LocalVariables.ScanID4,GlobalImagingVariables2.SecondSpinBlowOutPulsePulseWidth,GlobalLatticeVariables2.LatticeFreezePhysicsNorthwestPower,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.IsImageBIFormation,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionFinalPower,GlobalImagingVariables2.FifthSpinBlowOutPulseDetuning,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalMotVariables2.MotExtAmplitudeCompressed,GlobalScienceChamberEvaporationVariables2.AccordionCompressionDimplePower,GlobalLatticeVariables2.SecondDMD1RampTime,GlobalLatticeVariables2.LoadWithDmd1InitialPower,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.NematicLatticeModulationFrequency,GlobalLatticeVariables2.IsDMDLatticeModulation,GlobalImagingVariables2.SecondSpinBlowOutPulseOneHalfExtAmplitude,GlobalLatticeVariables2.ReloadLatticeRampTime,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,LocalVariables.DMDID2,GlobalLatticeVariables2.IsRoundTripReloading,LocalVariables.DMDID,GlobalLatticeVariables2.IsNematicLatticeModulation,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampDelayTime,LocalVariables.ScanID2,GlobalLatticeVariables2.UnloadLatticeYPower,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.DMDModulationFrequency,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower
529,529,2025/10/18 21:58:08,0.0,0.0225,0.0,610.0,49.0,0.035,0.0,-6000000.0,0.01125,550.0,0.0,0.0,1.5,0.03,1.3,0.05,0.174746,0.00025,606800000.0,773000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.04,100000.0,766000000.0,0.03,0.0,2.5,0.005,b'251016_dmd0_iterative_compensation_pinning_16n.pkl',0,0.0,0.0,0,0.01,0.48,93.0,10.0,1010900000.0,0.0,0.02,0.0,0.032,0.03,9.999999999999999e-06,0.1,0.0,1088300000.0,0.0225,0.0,0.018000000000000002,0.03,0.0,0.0,9.999999999999999e-06,1.0,0.0035,0,0.2,83506780.0,1.0,620000000.0,0.975,0.78,0.3,0.02,0.0225,1.0,0.0,0.014,200.0,0,0.7,0.1,2.9999999999999997e-05,0.0,0.0,0,0.0,0,-1.4999999999999999e-05,0.875,0.007,590.0,0.1634945,200.0,0.03
530,530,2025/10/18 21:58:24,0.0,0.0225,0.0,500.0,50.0,0.035,0.0,-6000000.0,0.01125,550.0,0.0,0.0,1.5,0.03,1.3,0.05,0.174746,0.00025,450000000.0,773000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.001,100000.0,300000000.0,0.03,0.0,2.5,0.005,b'251016_dmd0_iterative_compensation_pinning_16p.pkl',0,0.0,0.0,0,0.01,0.48,93.0,10.0,854000000.0,0.0,0.02,0.0,0.032,0.03,4.9999999999999996e-06,0.1,0.0,932600000.0,0.0225,0.0,0.018000000000000002,0.03,0.0,0.0,9.999999999999999e-06,1.0,0.0035,0,0.2,228200000.0,1.0,620000000.0,0.975,0.78,0.3,0.02,0.0225,0.0,0.0,0.014,200.0,0,0.0,0.1,2.9999999999999997e-05,0.0,0.0,0,0.0,0,-1.4999999999999999e-05,0.875,0.007,590.0,0.1634945,200.0,0.03
531,531,2025/10/18 21:58:40,0.0,0.0225,0.0,610.0,51.0,0.035,0.0,-6000000.0,0.01125,550.0,0.0,0.0,1.5,0.03,1.3,0.05,0.174746,0.00025,606800000.0,773000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.04,100000.0,766000000.0,0.03,0.0,2.5,0.005,b'251016_dmd0_iterative_compensation_pinning_16p.pkl',0,0.0,0.0,0,0.01,0.48,93.0,10.0,1010900000.0,0.0,0.02,0.0,0.032,0.03,9.999999999999999e-06,0.1,0.0,1088300000.0,0.0225,0.0,0.018000000000000002,0.03,0.0,0.0,9.999999999999999e-06,1.0,0.0035,0,0.2,83506780.0,1.0,620000000.0,0.975,0.78,0.3,0.02,0.0225,1.0,0.0,0.014,200.0,0,0.7,0.1,2.9999999999999997e-05,0.0,0.0,0,0.0,0,-1.4999999999999999e-05,0.875,0.007,590.0,0.1634945,200.0,0.03
532,532,2025/10/18 21:58:55,0.0,0.0225,0.0,500.0,52.0,0.035,0.0,-6000000.0,0.01125,550.0,0.0,0.0,1.5,0.03,1.3,0.05,0.174746,0.00025,450000000.0,773000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.001,100000.0,300000000.0,0.03,0.0,2.5,0.005,b'251016_dmd0_iterative_compensation_pinning_20n.pkl',0,0.0,0.0,0,0.01,0.48,93.0,10.0,854000000.0,0.0,0.02,0.0,0.032,0.03,4.9999999999999996e-06,0.1,0.0,932600000.0,0.0225,0.0,0.018000000000000002,0.03,0.0,0.0,9.999999999999999e-06,1.0,0.0035,0,0.2,228200000.0,1.0,620000000.0,0.975,0.78,0.3,0.02,0.0225,0.0,0.0,0.014,200.0,0,0.0,0.1,2.9999999999999997e-05,0.0,0.0,0,0.0,0,-1.4999999999999999e-05,0.875,0.007,590.0,0.1634945,200.0,0.03
533,533,2025/10/18 21:59:11,0.0,0.0225,0.0,610.0,53.0,0.035,0.0,-6000000.0,0.01125,550.0,0.0,0.0,1.5,0.03,1.3,0.05,0.174746,0.00025,606800000.0,773000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.04,100000.0,766000000.0,0.03,0.0,2.5,0.005,b'251016_dmd0_iterative_compensation_pinning_20n.pkl',0,0.0,0.0,0,0.01,0.48,93.0,10.0,1010900000.0,0.0,0.02,0.0,0.032,0.03,9.999999999999999e-06,0.1,0.0,1088300000.0,0.0225,0.0,0.018000000000000002,0.03,0.0,0.0,9.999999999999999e-06,1.0,0.0035,0,0.2,83506780.0,1.0,620000000.0,0.975,0.78,0.3,0.02,0.0225,1.0,0.0,0.014,200.0,0,0.7,0.1,2.9999999999999997e-05,0.0,0.0,0,0.0,0,-1.4999999999999999e-05,0.875,0.007,590.0,0.1634945,200.0,0.03
534,534,2025/10/18 21:59:26,0.0,0.0225,0.0,500.0,54.0,0.035,0.0,-6000000.0,0.01125,550.0,0.0,0.0,1.5,0.03,1.3,0.05,0.174746,0.00025,450000000.0,773000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.001,100000.0,300000000.0,0.03,0.0,2.5,0.005,b'251016_dmd0_iterative_compensation_pinning_20p.pkl',0,0.0,0.0,0,0.01,0.48,93.0,10.0,854000000.0,0.0,0.02,0.0,0.032,0.03,4.9999999999999996e-06,0.1,0.0,932600000.0,0.0225,0.0,0.018000000000000002,0.03,0.0,0.0,9.999999999999999e-06,1.0,0.0035,0,0.2,228200000.0,1.0,620000000.0,0.975,0.78,0.3,0.02,0.0225,0.0,0.0,0.014,200.0,0,0.0,0.1,2.9999999999999997e-05,0.0,0.0,0,0.0,0,-1.4999999999999999e-05,0.875,0.007,590.0,0.1634945,200.0,0.03
535,535,2025/10/18 21:59:42,0.0,0.0225,0.0,610.0,55.0,0.035,0.0,-6000000.0,0.01125,550.0,0.0,0.0,1.5,0.03,1.3,0.05,0.174746,0.00025,606800000.0,773000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.04,100000.0,766000000.0,0.03,0.0,2.5,0.005,b'251016_dmd0_iterative_compensation_pinning_20p.pkl',0,0.0,0.0,0,0.01,0.48,93.0,10.0,1010900000.0,0.0,0.02,0.0,0.032,0.03,9.999999999999999e-06,0.1,0.0,1088300000.0,0.0225,0.0,0.018000000000000002,0.03,0.0,0.0,9.999999999999999e-06,1.0,0.0035,0,0.2,83506780.0,1.0,620000000.0,0.975,0.78,0.3,0.02,0.0225,1.0,0.0,0.014,200.0,0,0.7,0.1,2.9999999999999997e-05,0.0,0.0,0,0.0,0,-1.4999999999999999e-05,0.875,0.007,590.0,0.1634945,200.0,0.03
536,536,2025/10/18 21:59:58,0.0,0.0225,0.0,500.0,56.0,0.035,0.0,-6000000.0,0.01125,550.0,0.0,0.0,1.5,0.03,1.3,0.05,0.174746,0.00025,450000000.0,773000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.001,100000.0,300000000.0,0.03,0.0,2.5,0.005,b'251016_dmd0_iterative_compensation_pinning_4n.pkl',0,0.0,0.0,0,0.01,0.48,93.0,10.0,854000000.0,0.0,0.02,0.0,0.032,0.03,4.9999999999999996e-06,0.1,0.0,932600000.0,0.0225,0.0,0.018000000000000002,0.03,0.0,0.0,9.999999999999999e-06,1.0,0.0035,0,0.2,228200000.0,1.0,620000000.0,0.975,0.78,0.3,0.02,0.0225,0.0,0.0,0.014,200.0,0,0.0,0.1,2.9999999999999997e-05,0.0,0.0,0,0.0,0,-1.4999999999999999e-05,0.875,0.007,590.0,0.1634945,200.0,0.03
537,537,2025/10/18 22:00:13,0.0,0.0225,0.0,610.0,57.0,0.035,0.0,-6000000.0,0.01125,550.0,0.0,0.0,1.5,0.03,1.3,0.05,0.174746,0.00025,606800000.0,773000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.04,100000.0,766000000.0,0.03,0.0,2.5,0.005,b'251016_dmd0_iterative_compensation_pinning_4n.pkl',0,0.0,0.0,0,0.01,0.48,93.0,10.0,1010900000.0,0.0,0.02,0.0,0.032,0.03,9.999999999999999e-06,0.1,0.0,1088300000.0,0.0225,0.0,0.018000000000000002,0.03,0.0,0.0,9.999999999999999e-06,1.0,0.0035,0,0.2,83506780.0,1.0,620000000.0,0.975,0.78,0.3,0.02,0.0225,1.0,0.0,0.014,200.0,0,0.7,0.1,2.9999999999999997e-05,0.0,0.0,0,0.0,0,-1.4999999999999999e-05,0.875,0.007,590.0,0.1634945,200.0,0.03
538,538,2025/10/18 22:00:29,0.0,0.0225,0.0,500.0,58.0,0.035,0.0,-6000000.0,0.01125,550.0,0.0,0.0,1.5,0.03,1.3,0.05,0.174746,0.00025,450000000.0,773000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.001,100000.0,300000000.0,0.03,0.0,2.5,0.005,b'251016_dmd0_iterative_compensation_pinning_4p.pkl',0,0.0,0.0,0,0.01,0.48,93.0,10.0,854000000.0,0.0,0.02,0.0,0.032,0.03,4.9999999999999996e-06,0.1,0.0,932600000.0,0.0225,0.0,0.018000000000000002,0.03,0.0,0.0,9.999999999999999e-06,1.0,0.0035,0,0.2,228200000.0,1.0,620000000.0,0.975,0.78,0.3,0.02,0.0225,0.0,0.0,0.014,200.0,0,0.0,0.1,2.9999999999999997e-05,0.0,0.0,0,0.0,0,-1.4999999999999999e-05,0.875,0.007,590.0,0.1634945,200.0,0.03
539,539,2025/10/18 22:00:44,0.0,0.0225,0.0,610.0,59.0,0.035,0.0,-6000000.0,0.01125,550.0,0.0,0.0,1.5,0.03,1.3,0.05,0.174746,0.00025,606800000.0,773000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.04,100000.0,766000000.0,0.03,0.0,2.5,0.005,b'251016_dmd0_iterative_compensation_pinning_4p.pkl',0,0.0,0.0,0,0.01,0.48,93.0,10.0,1010900000.0,0.0,0.02,0.0,0.032,0.03,9.999999999999999e-06,0.1,0.0,1088300000.0,0.0225,0.0,0.018000000000000002,0.03,0.0,0.0,9.999999999999999e-06,1.0,0.0035,0,0.2,83506780.0,1.0,620000000.0,0.975,0.78,0.3,0.02,0.0225,1.0,0.0,0.014,200.0,0,0.7,0.1,2.9999999999999997e-05,0.0,0.0,0,0.0,0,-1.4999999999999999e-05,0.875,0.007,590.0,0.1634945,200.0,0.03
540,540,2025/10/18 22:01:00,0.0,0.0225,0.0,500.0,60.0,0.035,0.0,-6000000.0,0.01125,550.0,0.0,0.0,1.5,0.03,1.3,0.05,0.174746,0.00025,450000000.0,773000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.001,100000.0,300000000.0,0.03,0.0,2.5,0.005,b'251016_dmd0_iterative_compensation_pinning_6n.pkl',0,0.0,0.0,0,0.01,0.48,93.0,10.0,854000000.0,0.0,0.02,0.0,0.032,0.03,4.9999999999999996e-06,0.1,0.0,932600000.0,0.0225,0.0,0.018000000000000002,0.03,0.0,0.0,9.999999999999999e-06,1.0,0.0035,0,0.2,228200000.0,1.0,620000000.0,0.975,0.78,0.3,0.02,0.0225,0.0,0.0,0.014,200.0,0,0.0,0.1,2.9999999999999997e-05,0.0,0.0,0,0.0,0,-1.4999999999999999e-05,0.875,0.007,590.0,0.1634945,200.0,0.03
541,541,2025/10/18 22:01:16,0.0,0.0225,0.0,610.0,60.99999999999999,0.035,0.0,-6000000.0,0.01125,550.0,0.0,0.0,1.5,0.03,1.3,0.05,0.174746,0.00025,606800000.0,773000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.04,100000.0,766000000.0,0.03,0.0,2.5,0.005,b'251016_dmd0_iterative_compensation_pinning_6n.pkl',0,0.0,0.0,0,0.01,0.48,93.0,10.0,1010900000.0,0.0,0.02,0.0,0.032,0.03,9.999999999999999e-06,0.1,0.0,1088300000.0,0.0225,0.0,0.018000000000000002,0.03,0.0,0.0,9.999999999999999e-06,1.0,0.0035,0,0.2,83506780.0,1.0,620000000.0,0.975,0.78,0.3,0.02,0.0225,1.0,0.0,0.014,200.0,0,0.7,0.1,2.9999999999999997e-05,0.0,0.0,0,0.0,0,-1.4999999999999999e-05,0.875,0.007,590.0,0.1634945,200.0,0.03
542,542,2025/10/18 22:01:31,0.0,0.0225,0.0,500.0,62.00000000000001,0.035,0.0,-6000000.0,0.01125,550.0,0.0,0.0,1.5,0.03,1.3,0.05,0.174746,0.00025,450000000.0,773000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.001,100000.0,300000000.0,0.03,0.0,2.5,0.005,b'251016_dmd0_iterative_compensation_pinning_6p.pkl',0,0.0,0.0,0,0.01,0.48,93.0,10.0,854000000.0,0.0,0.02,0.0,0.032,0.03,4.9999999999999996e-06,0.1,0.0,932600000.0,0.0225,0.0,0.018000000000000002,0.03,0.0,0.0,9.999999999999999e-06,1.0,0.0035,0,0.2,228200000.0,1.0,620000000.0,0.975,0.78,0.3,0.02,0.0225,0.0,0.0,0.014,200.0,0,0.0,0.1,2.9999999999999997e-05,0.0,0.0,0,0.0,0,-1.4999999999999999e-05,0.875,0.007,590.0,0.1634945,200.0,0.03
543,543,2025/10/18 22:01:47,0.0,0.0225,0.0,610.0,63.0,0.035,0.0,-6000000.0,0.01125,550.0,0.0,0.0,1.5,0.03,1.3,0.05,0.174746,0.00025,606800000.0,773000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.04,100000.0,766000000.0,0.03,0.0,2.5,0.005,b'251016_dmd0_iterative_compensation_pinning_6p.pkl',0,0.0,0.0,0,0.01,0.48,93.0,10.0,1010900000.0,0.0,0.02,0.0,0.032,0.03,9.999999999999999e-06,0.1,0.0,1088300000.0,0.0225,0.0,0.018000000000000002,0.03,0.0,0.0,9.999999999999999e-06,1.0,0.0035,0,0.2,83506780.0,1.0,620000000.0,0.975,0.78,0.3,0.02,0.0225,1.0,0.0,0.014,200.0,0,0.7,0.1,2.9999999999999997e-05,0.0,0.0,0,0.0,0,-1.4999999999999999e-05,0.875,0.007,590.0,0.1634945,200.0,0.03
544,544,2025/10/18 22:02:02,0.0,0.0225,0.0,500.0,64.0,0.035,0.0,-6000000.0,0.01125,550.0,0.0,0.0,1.5,0.03,1.3,0.05,0.174746,0.00025,450000000.0,773000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.001,100000.0,300000000.0,0.03,0.0,2.5,0.005,b'251016_dmd0_iterative_compensation_pinning_8n.pkl',0,0.0,0.0,0,0.01,0.48,93.0,10.0,854000000.0,0.0,0.02,0.0,0.032,0.03,4.9999999999999996e-06,0.1,0.0,932600000.0,0.0225,0.0,0.018000000000000002,0.03,0.0,0.0,9.999999999999999e-06,1.0,0.0035,0,0.2,228200000.0,1.0,620000000.0,0.975,0.78,0.3,0.02,0.0225,0.0,0.0,0.014,200.0,0,0.0,0.1,2.9999999999999997e-05,0.0,0.0,0,0.0,0,-1.4999999999999999e-05,0.875,0.007,590.0,0.1634945,200.0,0.03
545,545,2025/10/18 22:02:18,0.0,0.0225,0.0,610.0,65.0,0.035,0.0,-6000000.0,0.01125,550.0,0.0,0.0,1.5,0.03,1.3,0.05,0.174746,0.00025,606800000.0,773000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.04,100000.0,766000000.0,0.03,0.0,2.5,0.005,b'251016_dmd0_iterative_compensation_pinning_8n.pkl',0,0.0,0.0,0,0.01,0.48,93.0,10.0,1010900000.0,0.0,0.02,0.0,0.032,0.03,9.999999999999999e-06,0.1,0.0,1088300000.0,0.0225,0.0,0.018000000000000002,0.03,0.0,0.0,9.999999999999999e-06,1.0,0.0035,0,0.2,83506780.0,1.0,620000000.0,0.975,0.78,0.3,0.02,0.0225,1.0,0.0,0.014,200.0,0,0.7,0.1,2.9999999999999997e-05,0.0,0.0,0,0.0,0,-1.4999999999999999e-05,0.875,0.007,590.0,0.1634945,200.0,0.03
546,546,2025/10/18 22:02:34,0.0,0.0225,0.0,500.0,66.0,0.035,0.0,-6000000.0,0.01125,550.0,0.0,0.0,1.5,0.03,1.3,0.05,0.174746,0.00025,450000000.0,773000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.001,100000.0,300000000.0,0.03,0.0,2.5,0.005,b'251016_dmd0_iterative_compensation_pinning_8p.pkl',0,0.0,0.0,0,0.01,0.48,93.0,10.0,854000000.0,0.0,0.02,0.0,0.032,0.03,4.9999999999999996e-06,0.1,0.0,932600000.0,0.0225,0.0,0.018000000000000002,0.03,0.0,0.0,9.999999999999999e-06,1.0,0.0035,0,0.2,228200000.0,1.0,620000000.0,0.975,0.78,0.3,0.02,0.0225,0.0,0.0,0.014,200.0,0,0.0,0.1,2.9999999999999997e-05,0.0,0.0,0,0.0,0,-1.4999999999999999e-05,0.875,0.007,590.0,0.1634945,200.0,0.03
547,547,2025/10/18 22:02:49,0.0,0.0225,0.0,610.0,67.0,0.035,0.0,-6000000.0,0.01125,550.0,0.0,0.0,1.5,0.03,1.3,0.05,0.174746,0.00025,606800000.0,773000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.04,100000.0,766000000.0,0.03,0.0,2.5,0.005,b'251016_dmd0_iterative_compensation_pinning_8p.pkl',0,0.0,0.0,0,0.01,0.48,93.0,10.0,1010900000.0,0.0,0.02,0.0,0.032,0.03,9.999999999999999e-06,0.1,0.0,1088300000.0,0.0225,0.0,0.018000000000000002,0.03,0.0,0.0,9.999999999999999e-06,1.0,0.0035,0,0.2,83506780.0,1.0,620000000.0,0.975,0.78,0.3,0.02,0.0225,1.0,0.0,0.014,200.0,0,0.7,0.1,2.9999999999999997e-05,0.0,0.0,0,0.0,0,-1.4999999999999999e-05,0.875,0.007,590.0,0.1634945,200.0,0.03
548,548,2025/10/18 22:03:05,0.0,0.0225,0.0,500.0,68.0,0.035,0.0,-6000000.0,0.01125,550.0,0.0,0.0,1.5,0.03,1.3,0.05,0.174746,0.00025,450000000.0,773000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.001,100000.0,300000000.0,0.03,0.0,2.5,0.005,b'251016_dmd0_iterative_compensation_pinning_10n.pkl',0,0.0,0.0,0,0.01,0.48,93.0,10.0,854000000.0,0.0,0.02,0.0,0.032,0.03,4.9999999999999996e-06,0.1,0.0,932600000.0,0.0225,0.0,0.018000000000000002,0.03,0.0,0.0,9.999999999999999e-06,1.0,0.0035,0,0.2,228200000.0,1.0,620000000.0,0.975,0.78,0.3,0.02,0.0225,0.0,0.0,0.014,200.0,0,0.0,0.1,2.9999999999999997e-05,0.0,0.0,0,0.0,0,-1.4999999999999999e-05,0.875,0.007,590.0,0.1634945,200.0,0.03
549,549,2025/10/18 22:03:21,0.0,0.0225,0.0,610.0,69.0,0.035,0.0,-6000000.0,0.01125,550.0,0.0,0.0,1.5,0.03,1.3,0.05,0.174746,0.00025,606800000.0,773000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.04,100000.0,766000000.0,0.03,0.0,2.5,0.005,b'251016_dmd0_iterative_compensation_pinning_10n.pkl',0,0.0,0.0,0,0.01,0.48,93.0,10.0,1010900000.0,0.0,0.02,0.0,0.032,0.03,9.999999999999999e-06,0.1,0.0,1088300000.0,0.0225,0.0,0.018000000000000002,0.03,0.0,0.0,9.999999999999999e-06,1.0,0.0035,0,0.2,83506780.0,1.0,620000000.0,0.975,0.78,0.3,0.02,0.0225,1.0,0.0,0.014,200.0,0,0.7,0.1,2.9999999999999997e-05,0.0,0.0,0,0.0,0,-1.4999999999999999e-05,0.875,0.007,590.0,0.1634945,200.0,0.03
550,550,2025/10/18 22:03:36,0.0,0.0225,0.0,500.0,70.0,0.035,0.0,-6000000.0,0.01125,550.0,0.0,0.0,1.5,0.03,1.3,0.05,0.174746,0.00025,450000000.0,773000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.001,100000.0,300000000.0,0.03,0.0,2.5,0.005,b'251016_dmd0_iterative_compensation_pinning_10p.pkl',0,0.0,0.0,0,0.01,0.48,93.0,10.0,854000000.0,0.0,0.02,0.0,0.032,0.03,4.9999999999999996e-06,0.1,0.0,932600000.0,0.0225,0.0,0.018000000000000002,0.03,0.0,0.0,9.999999999999999e-06,1.0,0.0035,0,0.2,228200000.0,1.0,620000000.0,0.975,0.78,0.3,0.02,0.0225,0.0,0.0,0.014,200.0,0,0.0,0.1,2.9999999999999997e-05,0.0,0.0,0,0.0,0,-1.4999999999999999e-05,0.875,0.007,590.0,0.1634945,200.0,0.03
551,551,2025/10/18 22:03:52,0.0,0.0225,0.0,610.0,71.0,0.035,0.0,-6000000.0,0.01125,550.0,0.0,0.0,1.5,0.03,1.3,0.05,0.174746,0.00025,606800000.0,773000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.04,100000.0,766000000.0,0.03,0.0,2.5,0.005,b'251016_dmd0_iterative_compensation_pinning_10p.pkl',0,0.0,0.0,0,0.01,0.48,93.0,10.0,1010900000.0,0.0,0.02,0.0,0.032,0.03,9.999999999999999e-06,0.1,0.0,1088300000.0,0.0225,0.0,0.018000000000000002,0.03,0.0,0.0,9.999999999999999e-06,1.0,0.0035,0,0.2,83506780.0,1.0,620000000.0,0.975,0.78,0.3,0.02,0.0225,1.0,0.0,0.014,200.0,0,0.7,0.1,2.9999999999999997e-05,0.0,0.0,0,0.0,0,-1.4999999999999999e-05,0.875,0.007,590.0,0.1634945,200.0,0.03
552,552,2025/10/18 22:04:08,0.0,0.0225,0.0,500.0,72.0,0.035,0.0,-6000000.0,0.01125,550.0,0.0,0.0,1.5,0.03,1.3,0.05,0.174746,0.00025,450000000.0,773000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.001,100000.0,300000000.0,0.03,0.0,2.5,0.005,b'251016_dmd0_iterative_compensation_pinning_12n.pkl',0,0.0,0.0,0,0.01,0.48,93.0,10.0,854000000.0,0.0,0.02,0.0,0.032,0.03,4.9999999999999996e-06,0.1,0.0,932600000.0,0.0225,0.0,0.018000000000000002,0.03,0.0,0.0,9.999999999999999e-06,1.0,0.0035,0,0.2,228200000.0,1.0,620000000.0,0.975,0.78,0.3,0.02,0.0225,0.0,0.0,0.014,200.0,0,0.0,0.1,2.9999999999999997e-05,0.0,0.0,0,0.0,0,-1.4999999999999999e-05,0.875,0.007,590.0,0.1634945,200.0,0.03
